id,name,formula,inchi,added by,comment
EMBL_dev1_216,DHB; 2*M+0*(M-H2O)-0*H+0*K+0*Na,C14H12O8,,Theodore,DHB matrix cluster
EMBL_dev1_217,DHB; 2*M+0*(M-H2O)-1*H+0*K+1*Na,C14H11NaO8,,Theodore,DHB matrix cluster
EMBL_dev1_218,DHB; 2*M+0*(M-H2O)-2*H+0*K+2*Na,C14H10Na2O8,,Theodore,DHB matrix cluster
EMBL_dev1_219,DHB; 2*M+0*(M-H2O)-3*H+0*K+3*Na,C14H9Na3O8,,Theodore,DHB matrix cluster
EMBL_dev1_220,DHB; 2*M+0*(M-H2O)-1*H+1*K+0*Na,C14H11KO8,,Theodore,DHB matrix cluster
EMBL_dev1_221,DHB; 2*M+0*(M-H2O)-2*H+1*K+1*Na,C14H10NaKO8,,Theodore,DHB matrix cluster
EMBL_dev1_222,DHB; 2*M+0*(M-H2O)-3*H+1*K+2*Na,C14H9Na2KO8,,Theodore,DHB matrix cluster
EMBL_dev1_223,DHB; 2*M+0*(M-H2O)-2*H+2*K+0*Na,C14H10K2O8,,Theodore,DHB matrix cluster
EMBL_dev1_224,DHB; 2*M+0*(M-H2O)-3*H+2*K+1*Na,C14H9NaK2O8,,Theodore,DHB matrix cluster
EMBL_dev1_225,DHB; 2*M+0*(M-H2O)-3*H+3*K+0*Na,C14H9K3O8,,Theodore,DHB matrix cluster
EMBL_dev1_226,DHB; 2*M+1*(M-H2O)-0*H+0*K+0*Na,C21H16O11,,Theodore,DHB matrix cluster
EMBL_dev1_227,DHB; 2*M+1*(M-H2O)-1*H+0*K+1*Na,C21H15NaO11,,Theodore,DHB matrix cluster
EMBL_dev1_228,DHB; 2*M+1*(M-H2O)-2*H+0*K+2*Na,C21H14Na2O11,,Theodore,DHB matrix cluster
EMBL_dev1_229,DHB; 2*M+1*(M-H2O)-3*H+0*K+3*Na,C21H13Na3O11,,Theodore,DHB matrix cluster
EMBL_dev1_230,DHB; 2*M+1*(M-H2O)-1*H+1*K+0*Na,C21H15KO11,,Theodore,DHB matrix cluster
EMBL_dev1_231,DHB; 2*M+1*(M-H2O)-2*H+1*K+1*Na,C21H14NaKO11,,Theodore,DHB matrix cluster
EMBL_dev1_232,DHB; 2*M+1*(M-H2O)-3*H+1*K+2*Na,C21H13Na2KO11,,Theodore,DHB matrix cluster
EMBL_dev1_233,DHB; 2*M+1*(M-H2O)-4*H+1*K+3*Na,C21H12Na3KO11,,Theodore,DHB matrix cluster
EMBL_dev1_234,DHB; 2*M+1*(M-H2O)-2*H+2*K+0*Na,C21H14K2O11,,Theodore,DHB matrix cluster
EMBL_dev1_235,DHB; 2*M+1*(M-H2O)-3*H+2*K+1*Na,C21H13NaK2O11,,Theodore,DHB matrix cluster
EMBL_dev1_236,DHB; 2*M+1*(M-H2O)-4*H+2*K+2*Na,C21H12Na2K2O11,,Theodore,DHB matrix cluster
EMBL_dev1_237,DHB; 2*M+1*(M-H2O)-3*H+3*K+0*Na,C21H13K3O11,,Theodore,DHB matrix cluster
EMBL_dev1_238,DHB; 2*M+1*(M-H2O)-4*H+3*K+1*Na,C21H12NaK3O11,,Theodore,DHB matrix cluster
EMBL_dev1_239,DHB; 2*M+2*(M-H2O)-0*H+0*K+0*Na,C28H20O14,,Theodore,DHB matrix cluster
EMBL_dev1_240,DHB; 2*M+2*(M-H2O)-1*H+0*K+1*Na,C28H19NaO14,,Theodore,DHB matrix cluster
EMBL_dev1_241,DHB; 2*M+2*(M-H2O)-2*H+0*K+2*Na,C28H18Na2O14,,Theodore,DHB matrix cluster
EMBL_dev1_242,DHB; 2*M+2*(M-H2O)-3*H+0*K+3*Na,C28H17Na3O14,,Theodore,DHB matrix cluster
EMBL_dev1_243,DHB; 2*M+2*(M-H2O)-1*H+1*K+0*Na,C28H19KO14,,Theodore,DHB matrix cluster
EMBL_dev1_244,DHB; 2*M+2*(M-H2O)-2*H+1*K+1*Na,C28H18NaKO14,,Theodore,DHB matrix cluster
EMBL_dev1_245,DHB; 2*M+2*(M-H2O)-3*H+1*K+2*Na,C28H17Na2KO14,,Theodore,DHB matrix cluster
EMBL_dev1_246,DHB; 2*M+2*(M-H2O)-4*H+1*K+3*Na,C28H16Na3KO14,,Theodore,DHB matrix cluster
