id	formula	name
LMFA01020315	C31H62O2	Mycocerosic acid (C31)
LMFA01020316	C32H64O2	Mycocerosic acid (C32)
LMFA01020317	C33H66O2	Mycocerosic acid (C33)
LMFA01020318	C34H68O2	Mycocerosic acid (C34)
LMFA01020319	C35H70O2	Mycocerosic acid (C35)
LMFA01020320	C31H62O3	Hydroxyphthioceranic acid (C31)
LMFA01020321	C33H66O3	Hydroxyphthioceranic acid (C33)
LMFA01020322	C34H68O3	Hydroxyphthioceranic acid (C34)
LMFA01020323	C36H72O3	Hydroxyphthioceranic acid (C36)
LMFA01020324	C37H74O3	Hydroxyphthioceranic acid (C37)
LMFA01020325	C39H78O3	Hydroxyphthioceranic acid (C39)
LMFA01020326	C40H80O3	Hydroxyphthioceranic acid (C40)
LMFA01020327	C42H84O3	Hydroxyphthioceranic acid (C42)
LMFA01020328	C43H86O3	Hydroxyphthioceranic acid (C43)
LMFA01020329	C45H90O3	Hydroxyphthioceranic acid (C45)
LMFA01020330	C46H92O3	Hydroxyphthioceranic acid (C46)
LMFA01020331	C48H96O3	Hydroxyphthioceranic acid (C48)
LMFA01020332	C24H48O3	Mycolipanolic acid (C24)
LMFA01020333	C26H52O3	Mycolipanolic acid (C26)
LMFA01020334	C27H54O3	Mycolipanolic acid (C27)
LMFA01020335	C28H56O3	Mycolipanolic acid (C28)
LMFA01020336	C25H48O2	Mycolipenic acid (C25)
LMFA01020337	C27H52O2	Mycolipenic acid (C27)
LMFA01020338	C28H54O2	Mycolipenic acid (C28)
LMFA01020339	C29H56O2	Mycolipenic acid (C29)
LMFA01020340	C19H36O2	18:1(13Z)(17Me)
LMFA01020341	C37H62O2	36:6(5Z,9Z,12Z,15Z,18Z,21Z)(34Me[S])
LMFA01020342	C20H40O2	19:0(11Me)
LMFA01020343	C26H52O2	25:0(23Me)
LMFA01020345	C9H18O2	7:0(6Me,6Me)
LMFA01020346	C11H22O2	9:0(8Me,8Me)
LMFA01020347	C13H26O2	11:0(10Me,10Me)
LMFA01020348	C15H30O2	13:0(12Me,12Me)
LMFA01020349	C25H50O2	24:0(18Me)
LMFA01020350	C25H50O2	24:0(17Me)
LMFA01020351	C26H52O2	25:0(18Me)
LMFA01020352	C26H52O2	26:0(18Me)
LMFA01020353	C26H52O2	26:0(18Me,24Me)
LMFA01020355	C16H32O2	14:0(10Me,13Me)
LMFA01020356	C21H42O2	20:0(12Me)
LMFA01020357	C26H48O2	25:2(5Z,9Z)(24Me)
LMFA01020358	C26H48O2	25:2(5Z,9Z)(23Me)
LMFA01020359	C27H50O2	26:2(5Z,9Z)(25Me)
LMFA01020360	C27H50O2	26:2(5Z,9Z)(24Me)
LMFA01020361	C28H52O2	27:2(5Z,9Z)(25Me)
LMFA01020362	C28H52O2	27:2(5Z,9Z)(26Me)
LMFA01020363	C27H50O2	27:2(5Z,9Z)
LMFA01020364	C28H52O2	28:2(5Z,9Z)
LMFA01020365	C29H54O2	28:2(5Z,9Z)(27Me)
LMFA01020366	C30H56O2	29:2(5Z,9Z)(26Me)
LMFA01020367	C20H32O2	16:3(2E,10E,12E)(3Me,5Me[R],7My,15Me)
LMFA01020368	C17H26O2	14:4(2E,4E,8E,10E)(6Me[S],9Me,12Me[S])
LMFA01020369	C18H32O2	16:2(2E,4E)(4Me,6Me[S])
LMFA01020370	C19H30O2	16:4(2E,4E,8E,10E)(7Me[R],9Me,14Me[R])
LMFA01020371	C19H26O2	15:6(2Z,4E,6Z,8E,12E,14)(6Me,8Me,10Me[S],13Me)
LMFA01020372	C18H34O2	17:1(4)(16Me)
LMFA01020373	C18H34O2	17:1(6)(9Me)
LMFA01020374	C18H34O2	17:1(12)(7Me)
LMFA01020375	C29H54O2	28:2(5Z,9Z)(22Me)
LMFA01020376	C30H56O2	29:2(5Z,9Z)(22Me)
LMFA01020377	C18H32O2	16:2(2E,4E)(5Me,7Me[S])
LMFA01020378	C19H34O2	18:2(5Z,9Z)(16Me)
LMFA01020379	C19H34O2	18:2(5Z,9Z)(17Me)
LMFA01020381	C20H32O2	17:4(2E,4E,9E,11E)(8Me[R],10Me,15Me[R])
LMFA01020382	C17H32O2	16:1(6Z)(15Me)
LMFA01020383	C17H32O2	16:1(8Z)(15Me)
LMFA01020384	C17H32O2	16:1(9Z)(15Me)
LMFA01020385	C17H32O2	16:1(10Z)(15Me)
LMFA01020386	C19H36O2	18:1(12E)(11Me)
LMFA01020387	C19H36O2	18:1(7Z)(17Me)
LMFA01020388	C14H28O2	3,5-Dimethyldodecanoic acid
LMFA01020389	C15H30O2	3,5-Dimethyltridecanoic acid
LMFA01020390	C17H34O2	3,5-Dimethylpentadecanoic acid
LMFA01020391	C8H16O2	2-Methylheptanoic acid
LMFA01020392	C8H14O2	3-Methyl-2E-heptenoic acid
LMFA01020393	C7H8O6	(2E)-2-(methoxycarbonylmethyl)but-2-enedioic acid
LMFA01020394	C6H8O4	2-methylideneglutaric acid
LMFA01020395	C6H13NO2S	S-(2-carboxypropyl)-Cysteamine
LMFA01020396	C19H38O2	10-methyl-octadecanoic acid
LMFA01020397	C29H56O4	Argenonic acid
LMFA01020398	C9H14O2	Dendryphiellic acid A
LMFA01020399	C9H14O3	Dendryphiellic acid B
LMFA01020400	C25H46O2	Farnesic acid
LMFA01020401	C6H12O3	L-Isoleucic acid
LMFA01020402	C8H14O3	Mycinonic acid I
LMFA01020404	C32H62O4	Diabolic acid
LMFA01020405	C19H32O2	16-methyl-octadeca-5Z,9Z,12Z-trienoic acid
LMFA01020406	C17H32O2	15-methyl-11-Hexadecenoic acid
